Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","0"
"00-04","MULLER","0"
"05-09","HOME","0"
"05-09","MULLER","1"
"10-14","HOME","33.640"
"10-14","MULLER","31.963"
"15-19","HOME","53.431"
"15-19","MULLER","51.633"
"20-24","HOME","48.971"
"20-24","MULLER","48.453"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","49.689"
"25-29","MULLER","50.804"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","57.468"
"30-34","MULLER","59.591"
"35-39","HOME","73.703"
"35-39","MULLER","77.119"
"40-44","HOME","98.803"
"40-44","MULLER","102.448"
"45-49","HOME","103.288"
"45-49","MULLER","107.274"
"50-54","HOME","97.348"
"50-54","MULLER","102.776"
"55-59","HOME","89.560"
"55-59","MULLER","96.367"
"60-64","HOME","86.716"
"60-64","MULLER","93.977"
"65-69","HOME","78.162"
"65-69","MULLER","86.192"
"70-74","HOME","70.993"
"70-74","MULLER","82.701"
"75-79","HOME","59.847"
"75-79","MULLER","75.048"
"80-84","HOME","39.080"
"80-84","MULLER","57.356"
"85->","HOME","44.420"
"85->","MULLER","87.247"
