Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","0"
"00-04","MULLER","0"
"05-09","HOME","0"
"05-09","MULLER","0"
"10-14","HOME","6"
"10-14","MULLER","6"
"15-19","HOME","305"
"15-19","MULLER","503"
"20-24","HOME","2.107"
"20-24","MULLER","5.659"
"25-29","HOME","4.016"
"25-29","MULLER","10.429"
"30-34","HOME","5.111"
"30-34","MULLER","13.075"
"35-39","HOME","6.771"
"35-39","MULLER","15.662"
"40-44","HOME","65.333"
"40-44","MULLER","72.595"
"45-49","HOME","94.396"
"45-49","MULLER","100.835"
"50-54","HOME","90.544"
"50-54","MULLER","97.903"
"55-59","HOME","86.827"
"55-59","MULLER","95.353"
"60-64","HOME","81.143"
"60-64","MULLER","88.310"
"65-69","HOME","75.128"
"65-69","MULLER","82.862"
"70-74","HOME","70.378"
"70-74","MULLER","82.021"
"75-79","HOME","59.455"
"75-79","MULLER","74.559"
"80-84","HOME","38.896"
"80-84","MULLER","57.061"
"85->","HOME","44.248"
"85->","MULLER","86.863"
