Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","2"
"00-04","MULLER","6"
"05-09","HOME","49.786"
"05-09","MULLER","46.756"
"10-14","HOME","61.634"
"10-14","MULLER","57.976"
"15-19","HOME","52.140"
"15-19","MULLER","49.738"
"20-24","HOME","52.831"
"20-24","MULLER","51.562"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","52.847"
"25-29","MULLER","52.966"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","59.772"
"30-34","MULLER","61.400"
"35-39","HOME","74.429"
"35-39","MULLER","77.334"
"40-44","HOME","99.966"
"40-44","MULLER","102.385"
"45-49","HOME","106.839"
"45-49","MULLER","109.888"
"50-54","HOME","99.419"
"50-54","MULLER","104.134"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","93.170"
"55-59","MULLER","99.658"
"60-64","HOME","88.911"
"60-64","MULLER","95.958"
"65-69","HOME","79.403"
"65-69","MULLER","87.581"
"70-74","HOME","71.908"
"70-74","MULLER","82.718"
"75-79","HOME","62.027"
"75-79","MULLER","77.244"
"80-84","HOME","38.912"
"80-84","MULLER","55.531"
"85->","HOME","50.618"
"85->","MULLER","97.817"
