Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","0"
"00-04","MULLER","0"
"05-09","HOME","0"
"05-09","MULLER","1"
"10-14","HOME","34.750"
"10-14","MULLER","33.082"
"15-19","HOME","54.082"
"15-19","MULLER","52.205"
"20-24","HOME","49.801"
"20-24","MULLER","49.076"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","50.550"
"25-29","MULLER","51.485"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","58.176"
"30-34","MULLER","60.223"
"35-39","HOME","74.355"
"35-39","MULLER","77.710"
"40-44","HOME","99.400"
"40-44","MULLER","102.893"
"45-49","HOME","103.764"
"45-49","MULLER","107.647"
"50-54","HOME","97.701"
"50-54","MULLER","103.026"
"55-59","HOME","89.831"
"55-59","MULLER","96.546"
"60-64","HOME","87.064"
"60-64","MULLER","94.280"
"65-69","HOME","78.318"
"65-69","MULLER","86.396"
"70-74","HOME","71.034"
"70-74","MULLER","82.712"
"75-79","HOME","59.911"
"75-79","MULLER","75.051"
"80-84","HOME","39.109"
"80-84","MULLER","57.239"
"85->","HOME","44.639"
"85->","MULLER","87.754"
