Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","1"
"00-04","MULLER","0"
"05-09","HOME","0"
"05-09","MULLER","1"
"10-14","DESCOÑECIDO","1"
"10-14","HOME","36.708"
"10-14","MULLER","34.867"
"15-19","HOME","54.838"
"15-19","MULLER","52.718"
"20-24","HOME","50.935"
"20-24","MULLER","49.567"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","51.733"
"25-29","MULLER","52.097"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","59.385"
"30-34","MULLER","61.058"
"35-39","HOME","75.133"
"35-39","MULLER","78.182"
"40-44","HOME","100.320"
"40-44","MULLER","103.355"
"45-49","HOME","100.092"
"45-49","MULLER","103.559"
"50-54","HOME","101.983"
"50-54","MULLER","107.015"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","85.677"
"55-59","MULLER","92.305"
"60-64","HOME","87.980"
"60-64","MULLER","95.097"
"65-69","HOME","78.771"
"65-69","MULLER","86.949"
"70-74","HOME","71.440"
"70-74","MULLER","82.269"
"75-79","HOME","61.656"
"75-79","MULLER","76.997"
"80-84","HOME","40.090"
"80-84","MULLER","57.594"
"85->","HOME","48.676"
"85->","MULLER","94.297"
