Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","2"
"00-04","MULLER","7"
"05-09","HOME","50.429"
"05-09","MULLER","47.356"
"10-14","HOME","61.624"
"10-14","MULLER","57.975"
"15-19","HOME","52.137"
"15-19","MULLER","49.673"
"20-24","HOME","52.771"
"20-24","MULLER","51.226"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","52.797"
"25-29","MULLER","52.819"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","59.755"
"30-34","MULLER","61.274"
"35-39","HOME","74.379"
"35-39","MULLER","77.145"
"40-44","HOME","99.829"
"40-44","MULLER","102.115"
"45-49","HOME","106.870"
"45-49","MULLER","109.830"
"50-54","HOME","99.356"
"50-54","MULLER","104.149"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","83.255"
"55-59","MULLER","90.534"
"60-64","HOME","88.720"
"60-64","MULLER","95.374"
"65-69","HOME","79.829"
"65-69","MULLER","87.792"
"70-74","HOME","73.790"
"70-74","MULLER","83.747"
"75-79","HOME","63.680"
"75-79","MULLER","78.464"
"80-84","HOME","42.545"
"80-84","MULLER","59.177"
"85->","HOME","54.711"
"85->","MULLER","104.048"
