Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","0"
"00-04","MULLER","0"
"05-09","HOME","0"
"05-09","MULLER","1"
"10-14","DESCOÑECIDO","1"
"10-14","HOME","35.135"
"10-14","MULLER","33.417"
"15-19","HOME","54.257"
"15-19","MULLER","52.356"
"20-24","HOME","50.041"
"20-24","MULLER","49.252"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","50.807"
"25-29","MULLER","51.661"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","58.386"
"30-34","MULLER","60.410"
"35-39","HOME","74.556"
"35-39","MULLER","77.905"
"40-44","HOME","99.576"
"40-44","MULLER","103.029"
"45-49","HOME","103.916"
"45-49","MULLER","107.732"
"50-54","HOME","97.806"
"50-54","MULLER","103.092"
"55-59","HOME","89.894"
"55-59","MULLER","96.597"
"60-64","HOME","87.153"
"60-64","MULLER","94.355"
"65-69","HOME","78.350"
"65-69","MULLER","86.422"
"70-74","HOME","71.057"
"70-74","MULLER","82.715"
"75-79","HOME","58.733"
"75-79","MULLER","73.493"
"80-84","HOME","39.324"
"80-84","MULLER","57.289"
"85->","HOME","45.683"
"85->","MULLER","89.412"
