Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","2"
"00-04","MULLER","4"
"05-09","HOME","47.835"
"05-09","MULLER","44.866"
"10-14","HOME","61.468"
"10-14","MULLER","57.834"
"15-19","HOME","52.634"
"15-19","MULLER","50.446"
"20-24","HOME","52.579"
"20-24","MULLER","51.135"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","52.688"
"25-29","MULLER","52.824"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","59.720"
"30-34","MULLER","61.331"
"35-39","HOME","74.400"
"35-39","MULLER","77.260"
"40-44","HOME","99.674"
"40-44","MULLER","102.109"
"45-49","HOME","106.501"
"45-49","MULLER","109.574"
"50-54","HOME","99.331"
"50-54","MULLER","103.998"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","93.101"
"55-59","MULLER","99.590"
"60-64","HOME","88.876"
"60-64","MULLER","95.915"
"65-69","HOME","79.374"
"65-69","MULLER","87.556"
"70-74","HOME","71.894"
"70-74","MULLER","82.766"
"75-79","HOME","62.077"
"75-79","MULLER","77.563"
"80-84","HOME","40.292"
"80-84","MULLER","57.811"
"85->","HOME","48.959"
"85->","MULLER","94.891"
