Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","2"
"00-04","MULLER","4"
"05-09","HOME","47.713"
"05-09","MULLER","44.760"
"10-14","HOME","61.444"
"10-14","MULLER","57.816"
"15-19","HOME","52.684"
"15-19","MULLER","50.501"
"20-24","HOME","52.562"
"20-24","MULLER","51.111"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","52.663"
"25-29","MULLER","52.796"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","59.715"
"30-34","MULLER","61.333"
"35-39","HOME","74.385"
"35-39","MULLER","77.239"
"40-44","HOME","99.694"
"40-44","MULLER","102.124"
"45-49","HOME","106.466"
"45-49","MULLER","109.545"
"50-54","HOME","99.328"
"50-54","MULLER","103.992"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","93.102"
"55-59","MULLER","99.587"
"60-64","HOME","88.875"
"60-64","MULLER","95.915"
"65-69","HOME","79.367"
"65-69","MULLER","87.556"
"70-74","HOME","71.893"
"70-74","MULLER","82.761"
"75-79","HOME","62.074"
"75-79","MULLER","77.561"
"80-84","HOME","40.292"
"80-84","MULLER","57.812"
"85->","HOME","48.959"
"85->","MULLER","94.887"
