Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","3"
"00-04","MULLER","7"
"05-09","HOME","50.574"
"05-09","MULLER","47.475"
"10-14","HOME","61.619"
"10-14","MULLER","57.966"
"15-19","HOME","52.153"
"15-19","MULLER","49.668"
"20-24","HOME","52.771"
"20-24","MULLER","51.220"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","52.800"
"25-29","MULLER","52.820"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","59.764"
"30-34","MULLER","61.265"
"35-39","HOME","74.369"
"35-39","MULLER","77.147"
"40-44","HOME","99.801"
"40-44","MULLER","102.059"
"45-49","HOME","106.839"
"45-49","MULLER","109.823"
"50-54","HOME","99.337"
"50-54","MULLER","104.126"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","83.190"
"55-59","MULLER","90.450"
"60-64","HOME","88.775"
"60-64","MULLER","95.408"
"65-69","HOME","79.872"
"65-69","MULLER","87.849"
"70-74","HOME","73.830"
"70-74","MULLER","83.779"
"75-79","HOME","63.760"
"75-79","MULLER","78.592"
"80-84","HOME","42.594"
"80-84","MULLER","59.195"
"85->","HOME","54.740"
"85->","MULLER","104.129"
