Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","2"
"00-04","MULLER","4"
"05-09","HOME","47.574"
"05-09","MULLER","44.630"
"10-14","HOME","61.419"
"10-14","MULLER","57.797"
"15-19","HOME","52.753"
"15-19","MULLER","50.593"
"20-24","HOME","52.540"
"20-24","MULLER","51.084"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","52.691"
"25-29","MULLER","52.764"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","59.712"
"30-34","MULLER","61.349"
"35-39","HOME","74.384"
"35-39","MULLER","77.227"
"40-44","HOME","99.675"
"40-44","MULLER","102.140"
"45-49","HOME","106.332"
"45-49","MULLER","109.413"
"50-54","HOME","99.313"
"50-54","MULLER","103.982"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","93.088"
"55-59","MULLER","99.583"
"60-64","HOME","88.871"
"60-64","MULLER","95.899"
"65-69","HOME","79.359"
"65-69","MULLER","87.552"
"70-74","HOME","71.891"
"70-74","MULLER","82.754"
"75-79","HOME","62.069"
"75-79","MULLER","77.556"
"80-84","HOME","40.293"
"80-84","MULLER","57.814"
"85->","HOME","48.957"
"85->","MULLER","94.883"
