Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","0"
"00-04","MULLER","0"
"05-09","HOME","0"
"05-09","MULLER","0"
"10-14","DESCOÑECIDO","2"
"10-14","HOME","30.229"
"10-14","MULLER","28.625"
"15-19","DESCOÑECIDO","2"
"15-19","HOME","48.819"
"15-19","MULLER","47.399"
"20-24","HOME","42.998"
"20-24","MULLER","43.316"
"25-29","HOME","45.372"
"25-29","MULLER","47.173"
"30-34","HOME","54.109"
"30-34","MULLER","56.761"
"35-39","HOME","70.506"
"35-39","MULLER","74.224"
"40-44","HOME","96.793"
"40-44","MULLER","100.657"
"45-49","HOME","101.503"
"45-49","MULLER","105.897"
"50-54","HOME","96.244"
"50-54","MULLER","101.863"
"55-59","HOME","88.653"
"55-59","MULLER","95.638"
"60-64","HOME","85.838"
"60-64","MULLER","93.043"
"65-69","HOME","77.719"
"65-69","MULLER","85.684"
"70-74","HOME","70.825"
"70-74","MULLER","82.528"
"75-79","HOME","59.744"
"75-79","MULLER","74.920"
"80-84","HOME","39.029"
"80-84","MULLER","57.277"
"85->","HOME","44.369"
"85->","MULLER","87.141"
