Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","0"
"00-04","MULLER","0"
"05-09","HOME","0"
"05-09","MULLER","0"
"10-14","HOME","6"
"10-14","MULLER","6"
"15-19","HOME","292"
"15-19","MULLER","488"
"20-24","HOME","2.039"
"20-24","MULLER","5.526"
"25-29","HOME","3.896"
"25-29","MULLER","10.169"
"30-34","HOME","4.938"
"30-34","MULLER","12.543"
"35-39","HOME","6.574"
"35-39","MULLER","15.084"
"40-44","HOME","10.223"
"40-44","MULLER","20.376"
"45-49","HOME","78.243"
"45-49","MULLER","85.420"
"50-54","HOME","89.979"
"50-54","MULLER","97.607"
"55-59","HOME","85.707"
"55-59","MULLER","94.465"
"60-64","HOME","82.718"
"60-64","MULLER","90.054"
"65-69","HOME","72.944"
"65-69","MULLER","80.517"
"70-74","HOME","70.262"
"70-74","MULLER","81.899"
"75-79","HOME","59.368"
"75-79","MULLER","74.438"
"80-84","HOME","38.861"
"80-84","MULLER","57.008"
"85->","HOME","44.200"
"85->","MULLER","86.762"
