Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","0"
"00-04","MULLER","0"
"05-09","HOME","0"
"05-09","MULLER","0"
"10-14","HOME","1"
"10-14","MULLER","0"
"15-19","HOME","237"
"15-19","MULLER","365"
"20-24","HOME","1.541"
"20-24","MULLER","4.516"
"25-29","HOME","3.114"
"25-29","MULLER","9.322"
"30-34","HOME","3.968"
"30-34","MULLER","11.358"
"35-39","HOME","5.378"
"35-39","MULLER","13.660"
"40-44","HOME","8.191"
"40-44","MULLER","18.138"
"45-49","HOME","9.542"
"45-49","MULLER","19.637"
"50-54","HOME","14.244"
"50-54","MULLER","23.971"
"55-59","HOME","10.451"
"55-59","MULLER","19.322"
"60-64","HOME","73.963"
"60-64","MULLER","81.858"
"65-69","HOME","15.088"
"65-69","MULLER","16.069"
"70-74","HOME","66.263"
"70-74","MULLER","77.587"
"75-79","HOME","57.078"
"75-79","MULLER","71.474"
"80-84","HOME","38.323"
"80-84","MULLER","56.214"
"85->","HOME","43.524"
"85->","MULLER","84.923"
