Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","3"
"00-04","MULLER","6"
"05-09","HOME","49.440"
"05-09","MULLER","46.411"
"10-14","HOME","61.611"
"10-14","MULLER","57.958"
"15-19","HOME","52.156"
"15-19","MULLER","49.760"
"20-24","HOME","52.841"
"20-24","MULLER","51.553"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","52.820"
"25-29","MULLER","52.946"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","59.763"
"30-34","MULLER","61.398"
"35-39","HOME","74.435"
"35-39","MULLER","77.340"
"40-44","HOME","99.954"
"40-44","MULLER","102.366"
"45-49","HOME","106.793"
"45-49","MULLER","109.865"
"50-54","HOME","99.422"
"50-54","MULLER","104.132"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","93.190"
"55-59","MULLER","99.654"
"60-64","HOME","88.916"
"60-64","MULLER","95.955"
"65-69","HOME","79.407"
"65-69","MULLER","87.598"
"70-74","HOME","71.928"
"70-74","MULLER","82.797"
"75-79","HOME","62.107"
"75-79","MULLER","77.587"
"80-84","HOME","40.298"
"80-84","MULLER","57.822"
"85->","HOME","48.979"
"85->","MULLER","94.914"
