Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","3"
"00-04","MULLER","7"
"05-09","HOME","50.462"
"05-09","MULLER","47.391"
"10-14","HOME","61.614"
"10-14","MULLER","57.970"
"15-19","HOME","52.149"
"15-19","MULLER","49.669"
"20-24","HOME","52.772"
"20-24","MULLER","51.223"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","52.801"
"25-29","MULLER","52.812"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","59.751"
"30-34","MULLER","61.275"
"35-39","HOME","74.366"
"35-39","MULLER","77.148"
"40-44","HOME","99.819"
"40-44","MULLER","102.083"
"45-49","HOME","106.849"
"45-49","MULLER","109.811"
"50-54","HOME","99.331"
"50-54","MULLER","104.138"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","83.243"
"55-59","MULLER","90.512"
"60-64","HOME","88.750"
"60-64","MULLER","95.401"
"65-69","HOME","79.862"
"65-69","MULLER","87.818"
"70-74","HOME","73.819"
"70-74","MULLER","83.769"
"75-79","HOME","63.703"
"75-79","MULLER","78.508"
"80-84","HOME","42.569"
"80-84","MULLER","59.183"
"85->","HOME","54.719"
"85->","MULLER","104.084"
