Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","0"
"00-04","MULLER","0"
"05-09","HOME","0"
"05-09","MULLER","1"
"10-14","DESCOÑECIDO","1"
"10-14","HOME","35.497"
"10-14","MULLER","33.730"
"15-19","HOME","54.340"
"15-19","MULLER","52.421"
"20-24","HOME","50.138"
"20-24","MULLER","49.326"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","50.885"
"25-29","MULLER","51.743"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","58.463"
"30-34","MULLER","60.469"
"35-39","HOME","74.620"
"35-39","MULLER","77.980"
"40-44","HOME","99.630"
"40-44","MULLER","103.090"
"45-49","HOME","103.978"
"45-49","MULLER","107.762"
"50-54","HOME","97.839"
"50-54","MULLER","103.114"
"55-59","HOME","89.911"
"55-59","MULLER","96.626"
"60-64","HOME","87.182"
"60-64","MULLER","94.385"
"65-69","HOME","78.356"
"65-69","MULLER","86.435"
"70-74","HOME","71.064"
"70-74","MULLER","82.731"
"75-79","HOME","57.713"
"75-79","MULLER","72.099"
"80-84","HOME","39.448"
"80-84","MULLER","57.355"
"85->","HOME","46.621"
"85->","MULLER","90.802"
