Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","3"
"00-04","MULLER","7"
"05-09","HOME","50.704"
"05-09","MULLER","47.613"
"10-14","HOME","61.605"
"10-14","MULLER","57.949"
"15-19","HOME","52.158"
"15-19","MULLER","49.661"
"20-24","HOME","52.780"
"20-24","MULLER","51.232"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","52.813"
"25-29","MULLER","52.822"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","59.759"
"30-34","MULLER","61.259"
"35-39","HOME","74.353"
"35-39","MULLER","77.125"
"40-44","HOME","99.770"
"40-44","MULLER","102.019"
"45-49","HOME","106.810"
"45-49","MULLER","109.796"
"50-54","HOME","99.254"
"50-54","MULLER","104.067"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","83.229"
"55-59","MULLER","90.400"
"60-64","HOME","88.791"
"60-64","MULLER","95.425"
"65-69","HOME","79.851"
"65-69","MULLER","87.877"
"70-74","HOME","73.884"
"70-74","MULLER","83.819"
"75-79","HOME","63.900"
"75-79","MULLER","78.772"
"80-84","HOME","42.627"
"80-84","MULLER","59.219"
"85->","HOME","54.788"
"85->","MULLER","104.218"
