Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","0"
"00-04","MULLER","0"
"05-09","HOME","0"
"05-09","MULLER","0"
"10-14","DESCOÑECIDO","2"
"10-14","HOME","20.720"
"10-14","MULLER","19.566"
"15-19","DESCOÑECIDO","2"
"15-19","HOME","48.624"
"15-19","MULLER","47.231"
"20-24","HOME","42.775"
"20-24","MULLER","43.151"
"25-29","HOME","44.238"
"25-29","MULLER","46.319"
"30-34","HOME","53.707"
"30-34","MULLER","56.382"
"35-39","HOME","70.153"
"35-39","MULLER","73.836"
"40-44","HOME","96.669"
"40-44","MULLER","100.497"
"45-49","HOME","101.375"
"45-49","MULLER","105.767"
"50-54","HOME","96.180"
"50-54","MULLER","101.796"
"55-59","HOME","88.575"
"55-59","MULLER","95.580"
"60-64","HOME","85.770"
"60-64","MULLER","92.958"
"65-69","HOME","77.676"
"65-69","MULLER","85.636"
"70-74","HOME","70.810"
"70-74","MULLER","82.511"
"75-79","HOME","59.736"
"75-79","MULLER","74.915"
"80-84","HOME","39.029"
"80-84","MULLER","57.271"
"85->","HOME","44.363"
"85->","MULLER","87.128"
