Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","2"
"00-04","MULLER","6"
"05-09","HOME","50.001"
"05-09","MULLER","46.966"
"10-14","HOME","61.646"
"10-14","MULLER","57.986"
"15-19","HOME","52.130"
"15-19","MULLER","49.718"
"20-24","HOME","52.800"
"20-24","MULLER","51.436"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","52.850"
"25-29","MULLER","52.928"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","59.739"
"30-34","MULLER","61.351"
"35-39","HOME","74.445"
"35-39","MULLER","77.308"
"40-44","HOME","99.951"
"40-44","MULLER","102.309"
"45-49","HOME","106.866"
"45-49","MULLER","109.935"
"50-54","HOME","99.433"
"50-54","MULLER","104.154"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","88.238"
"55-59","MULLER","95.318"
"60-64","HOME","92.861"
"60-64","MULLER","99.228"
"65-69","HOME","72.454"
"65-69","MULLER","80.425"
"70-74","HOME","72.301"
"70-74","MULLER","82.412"
"75-79","HOME","62.957"
"75-79","MULLER","77.703"
"80-84","HOME","42.317"
"80-84","MULLER","59.061"
"85->","HOME","54.273"
"85->","MULLER","103.199"
