Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","3"
"00-04","MULLER","5"
"05-09","HOME","48.777"
"05-09","MULLER","45.810"
"10-14","HOME","61.567"
"10-14","MULLER","57.925"
"15-19","HOME","52.267"
"15-19","MULLER","49.908"
"20-24","HOME","52.762"
"20-24","MULLER","51.442"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","52.757"
"25-29","MULLER","52.897"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","59.732"
"30-34","MULLER","61.369"
"35-39","HOME","74.449"
"35-39","MULLER","77.326"
"40-44","HOME","99.908"
"40-44","MULLER","102.339"
"45-49","HOME","106.715"
"45-49","MULLER","109.784"
"50-54","HOME","99.389"
"50-54","MULLER","104.089"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","93.170"
"55-59","MULLER","99.641"
"60-64","HOME","88.894"
"60-64","MULLER","95.946"
"65-69","HOME","79.403"
"65-69","MULLER","87.588"
"70-74","HOME","71.927"
"70-74","MULLER","82.787"
"75-79","HOME","62.099"
"75-79","MULLER","77.587"
"80-84","HOME","40.301"
"80-84","MULLER","57.818"
"85->","HOME","48.971"
"85->","MULLER","94.908"
