Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","2"
"00-04","MULLER","6"
"05-09","HOME","49.727"
"05-09","MULLER","46.695"
"10-14","HOME","61.632"
"10-14","MULLER","57.975"
"15-19","HOME","52.145"
"15-19","MULLER","49.743"
"20-24","HOME","52.835"
"20-24","MULLER","51.558"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","52.836"
"25-29","MULLER","52.965"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","59.775"
"30-34","MULLER","61.395"
"35-39","HOME","74.423"
"35-39","MULLER","77.335"
"40-44","HOME","99.967"
"40-44","MULLER","102.374"
"45-49","HOME","106.833"
"45-49","MULLER","109.890"
"50-54","HOME","99.418"
"50-54","MULLER","104.133"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","93.173"
"55-59","MULLER","99.655"
"60-64","HOME","88.908"
"60-64","MULLER","95.960"
"65-69","HOME","79.408"
"65-69","MULLER","87.586"
"70-74","HOME","71.912"
"70-74","MULLER","82.729"
"75-79","HOME","62.084"
"75-79","MULLER","77.466"
"80-84","HOME","40.236"
"80-84","MULLER","57.547"
"85->","HOME","49.208"
"85->","MULLER","95.526"
