Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","2"
"00-04","MULLER","3"
"05-09","HOME","46.160"
"05-09","MULLER","43.128"
"10-14","HOME","60.823"
"10-14","MULLER","57.324"
"15-19","HOME","52.817"
"15-19","MULLER","50.660"
"20-24","HOME","52.434"
"20-24","MULLER","50.911"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","52.570"
"25-29","MULLER","52.604"
"30-34","DESCOÑECIDO","2"
"30-34","HOME","59.616"
"30-34","MULLER","61.247"
"35-39","HOME","74.276"
"35-39","MULLER","77.117"
"40-44","HOME","99.583"
"40-44","MULLER","102.063"
"45-49","HOME","106.211"
"45-49","MULLER","109.313"
"50-54","HOME","99.268"
"50-54","MULLER","103.928"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","93.008"
"55-59","MULLER","99.529"
"60-64","HOME","88.854"
"60-64","MULLER","95.848"
"65-69","HOME","79.321"
"65-69","MULLER","87.527"
"70-74","HOME","71.858"
"70-74","MULLER","82.712"
"75-79","HOME","62.049"
"75-79","MULLER","77.544"
"80-84","HOME","40.265"
"80-84","MULLER","57.783"
"85->","HOME","48.932"
"85->","MULLER","94.848"
