Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","0"
"00-04","MULLER","0"
"05-09","HOME","0"
"05-09","MULLER","1"
"10-14","HOME","33.755"
"10-14","MULLER","32.068"
"15-19","HOME","53.571"
"15-19","MULLER","51.763"
"20-24","HOME","49.092"
"20-24","MULLER","48.570"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","49.827"
"25-29","MULLER","50.937"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","57.597"
"30-34","MULLER","59.715"
"35-39","HOME","73.839"
"35-39","MULLER","77.235"
"40-44","HOME","98.936"
"40-44","MULLER","102.540"
"45-49","HOME","103.393"
"45-49","MULLER","107.368"
"50-54","HOME","97.419"
"50-54","MULLER","102.821"
"55-59","HOME","89.620"
"55-59","MULLER","96.419"
"60-64","HOME","86.794"
"60-64","MULLER","94.042"
"65-69","HOME","78.205"
"65-69","MULLER","86.247"
"70-74","HOME","71.004"
"70-74","MULLER","82.713"
"75-79","HOME","59.854"
"75-79","MULLER","75.064"
"80-84","HOME","39.089"
"80-84","MULLER","57.356"
"85->","HOME","44.423"
"85->","MULLER","87.263"
