Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","0"
"00-04","MULLER","0"
"05-09","HOME","0"
"05-09","MULLER","0"
"10-14","HOME","1"
"10-14","MULLER","0"
"15-19","HOME","263"
"15-19","MULLER","420"
"20-24","HOME","1.795"
"20-24","MULLER","5.221"
"25-29","HOME","3.325"
"25-29","MULLER","9.809"
"30-34","HOME","4.237"
"30-34","MULLER","11.967"
"35-39","HOME","5.749"
"35-39","MULLER","14.445"
"40-44","HOME","8.731"
"40-44","MULLER","19.019"
"45-49","HOME","10.184"
"45-49","MULLER","20.591"
"50-54","HOME","18.590"
"50-54","MULLER","28.500"
"55-59","HOME","76.047"
"55-59","MULLER","85.976"
"60-64","HOME","80.110"
"60-64","MULLER","87.644"
"65-69","HOME","71.088"
"65-69","MULLER","78.592"
"70-74","HOME","68.853"
"70-74","MULLER","80.364"
"75-79","HOME","58.723"
"75-79","MULLER","73.560"
"80-84","HOME","38.619"
"80-84","MULLER","56.658"
"85->","HOME","43.942"
"85->","MULLER","86.113"
