Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","0"
"00-04","MULLER","0"
"05-09","HOME","0"
"05-09","MULLER","0"
"10-14","HOME","6"
"10-14","MULLER","6"
"15-19","HOME","313"
"15-19","MULLER","501"
"20-24","HOME","2.150"
"20-24","MULLER","5.751"
"25-29","HOME","4.107"
"25-29","MULLER","10.558"
"30-34","HOME","5.209"
"30-34","MULLER","13.296"
"35-39","HOME","44.389"
"35-39","MULLER","50.091"
"40-44","HOME","90.923"
"40-44","MULLER","95.894"
"45-49","HOME","95.190"
"45-49","MULLER","101.132"
"50-54","HOME","92.362"
"50-54","MULLER","99.295"
"55-59","HOME","87.911"
"55-59","MULLER","96.078"
"60-64","HOME","81.183"
"60-64","MULLER","88.444"
"65-69","HOME","76.029"
"65-69","MULLER","83.730"
"70-74","HOME","70.500"
"70-74","MULLER","82.158"
"75-79","HOME","59.503"
"75-79","MULLER","74.648"
"80-84","HOME","38.914"
"80-84","MULLER","57.102"
"85->","HOME","44.263"
"85->","MULLER","86.910"
