Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","0"
"00-04","MULLER","0"
"05-09","HOME","0"
"05-09","MULLER","0"
"10-14","HOME","5"
"10-14","MULLER","6"
"15-19","HOME","316"
"15-19","MULLER","513"
"20-24","HOME","2.138"
"20-24","MULLER","5.720"
"25-29","HOME","4.075"
"25-29","MULLER","10.539"
"30-34","HOME","5.179"
"30-34","MULLER","13.262"
"35-39","HOME","7.322"
"35-39","MULLER","16.263"
"40-44","HOME","83.105"
"40-44","MULLER","88.873"
"45-49","HOME","94.730"
"45-49","MULLER","100.837"
"50-54","HOME","91.823"
"50-54","MULLER","98.991"
"55-59","HOME","87.703"
"55-59","MULLER","95.952"
"60-64","HOME","81.340"
"60-64","MULLER","88.553"
"65-69","HOME","75.604"
"65-69","MULLER","83.323"
"70-74","HOME","70.481"
"70-74","MULLER","82.124"
"75-79","HOME","59.491"
"75-79","MULLER","74.622"
"80-84","HOME","38.906"
"80-84","MULLER","57.086"
"85->","HOME","44.257"
"85->","MULLER","86.887"
