Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","0"
"00-04","MULLER","0"
"05-09","HOME","0"
"05-09","MULLER","0"
"10-14","HOME","1"
"10-14","MULLER","0"
"15-19","HOME","234"
"15-19","MULLER","363"
"20-24","HOME","1.537"
"20-24","MULLER","4.505"
"25-29","HOME","3.108"
"25-29","MULLER","9.309"
"30-34","HOME","3.965"
"30-34","MULLER","11.342"
"35-39","HOME","5.373"
"35-39","MULLER","13.630"
"40-44","HOME","8.176"
"40-44","MULLER","18.112"
"45-49","HOME","9.523"
"45-49","MULLER","19.598"
"50-54","HOME","14.233"
"50-54","MULLER","23.938"
"55-59","HOME","8.645"
"55-59","MULLER","17.552"
"60-64","HOME","55.219"
"60-64","MULLER","62.883"
"65-69","HOME","14.867"
"65-69","MULLER","15.847"
"70-74","HOME","65.526"
"70-74","MULLER","76.685"
"75-79","HOME","56.727"
"75-79","MULLER","70.989"
"80-84","HOME","38.153"
"80-84","MULLER","55.939"
"85->","HOME","43.113"
"85->","MULLER","83.651"
