Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","3"
"00-04","MULLER","6"
"05-09","HOME","49.361"
"05-09","MULLER","46.337"
"10-14","HOME","61.604"
"10-14","MULLER","57.954"
"15-19","HOME","52.164"
"15-19","MULLER","49.779"
"20-24","HOME","52.838"
"20-24","MULLER","51.538"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","52.805"
"25-29","MULLER","52.940"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","59.766"
"30-34","MULLER","61.396"
"35-39","HOME","74.435"
"35-39","MULLER","77.339"
"40-44","HOME","99.943"
"40-44","MULLER","102.366"
"45-49","HOME","106.780"
"45-49","MULLER","109.848"
"50-54","HOME","99.422"
"50-54","MULLER","104.130"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","93.181"
"55-59","MULLER","99.648"
"60-64","HOME","88.917"
"60-64","MULLER","95.956"
"65-69","HOME","79.404"
"65-69","MULLER","87.594"
"70-74","HOME","71.930"
"70-74","MULLER","82.796"
"75-79","HOME","62.105"
"75-79","MULLER","77.587"
"80-84","HOME","40.298"
"80-84","MULLER","57.822"
"85->","HOME","48.978"
"85->","MULLER","94.913"
