Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","0"
"00-04","MULLER","0"
"05-09","HOME","0"
"05-09","MULLER","1"
"10-14","DESCOÑECIDO","1"
"10-14","HOME","35.544"
"10-14","MULLER","33.752"
"15-19","HOME","54.376"
"15-19","MULLER","52.441"
"20-24","HOME","50.182"
"20-24","MULLER","49.349"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","50.939"
"25-29","MULLER","51.767"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","58.502"
"30-34","MULLER","60.496"
"35-39","HOME","74.652"
"35-39","MULLER","78.007"
"40-44","HOME","99.651"
"40-44","MULLER","103.107"
"45-49","HOME","104.006"
"45-49","MULLER","107.775"
"50-54","HOME","97.859"
"50-54","MULLER","103.125"
"55-59","HOME","89.927"
"55-59","MULLER","96.635"
"60-64","HOME","87.197"
"60-64","MULLER","94.393"
"65-69","HOME","78.367"
"65-69","MULLER","86.447"
"70-74","HOME","71.064"
"70-74","MULLER","82.731"
"75-79","HOME","56.941"
"75-79","MULLER","71.048"
"80-84","HOME","39.597"
"80-84","MULLER","57.424"
"85->","HOME","47.272"
"85->","MULLER","91.846"
