Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","0"
"00-04","MULLER","0"
"05-09","HOME","0"
"05-09","MULLER","0"
"10-14","HOME","96"
"10-14","MULLER","108"
"15-19","HOME","7.880"
"15-19","MULLER","10.110"
"20-24","HOME","8.778"
"20-24","MULLER","12.358"
"25-29","HOME","43.383"
"25-29","MULLER","45.501"
"30-34","HOME","51.355"
"30-34","MULLER","54.275"
"35-39","HOME","67.359"
"35-39","MULLER","71.407"
"40-44","HOME","95.401"
"40-44","MULLER","99.369"
"45-49","HOME","100.234"
"45-49","MULLER","105.007"
"50-54","HOME","95.422"
"50-54","MULLER","101.325"
"55-59","HOME","88.009"
"55-59","MULLER","95.244"
"60-64","HOME","85.185"
"60-64","MULLER","92.437"
"65-69","HOME","77.369"
"65-69","MULLER","85.306"
"70-74","HOME","70.724"
"70-74","MULLER","82.403"
"75-79","HOME","59.678"
"75-79","MULLER","74.844"
"80-84","HOME","38.992"
"80-84","MULLER","57.220"
"85->","HOME","44.328"
"85->","MULLER","87.069"
