Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","3"
"00-04","MULLER","5"
"05-09","HOME","48.376"
"05-09","MULLER","45.382"
"10-14","HOME","61.524"
"10-14","MULLER","57.891"
"15-19","HOME","52.353"
"15-19","MULLER","50.042"
"20-24","HOME","52.667"
"20-24","MULLER","51.338"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","52.726"
"25-29","MULLER","52.846"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","59.722"
"30-34","MULLER","61.341"
"35-39","HOME","74.447"
"35-39","MULLER","77.323"
"40-44","HOME","99.857"
"40-44","MULLER","102.287"
"45-49","HOME","106.641"
"45-49","MULLER","109.734"
"50-54","HOME","99.366"
"50-54","MULLER","104.039"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","93.143"
"55-59","MULLER","99.621"
"60-64","HOME","88.883"
"60-64","MULLER","95.940"
"65-69","HOME","79.394"
"65-69","MULLER","87.580"
"70-74","HOME","71.914"
"70-74","MULLER","82.777"
"75-79","HOME","62.090"
"75-79","MULLER","77.577"
"80-84","HOME","40.298"
"80-84","MULLER","57.815"
"85->","HOME","48.964"
"85->","MULLER","94.904"
