Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","2"
"00-04","MULLER","7"
"05-09","HOME","50.212"
"05-09","MULLER","47.146"
"10-14","HOME","61.652"
"10-14","MULLER","57.989"
"15-19","HOME","52.128"
"15-19","MULLER","49.690"
"20-24","HOME","52.763"
"20-24","MULLER","51.216"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","52.792"
"25-29","MULLER","52.847"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","59.776"
"30-34","MULLER","61.270"
"35-39","HOME","74.401"
"35-39","MULLER","77.198"
"40-44","HOME","99.885"
"40-44","MULLER","102.146"
"45-49","HOME","106.889"
"45-49","MULLER","109.892"
"50-54","HOME","99.405"
"50-54","MULLER","104.159"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","83.458"
"55-59","MULLER","90.692"
"60-64","HOME","88.770"
"60-64","MULLER","95.541"
"65-69","HOME","79.551"
"65-69","MULLER","87.519"
"70-74","HOME","73.690"
"70-74","MULLER","83.609"
"75-79","HOME","63.547"
"75-79","MULLER","78.351"
"80-84","HOME","42.443"
"80-84","MULLER","59.110"
"85->","HOME","54.552"
"85->","MULLER","103.750"
