Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","3"
"00-04","MULLER","6"
"05-09","HOME","49.082"
"05-09","MULLER","46.104"
"10-14","HOME","61.589"
"10-14","MULLER","57.942"
"15-19","HOME","52.203"
"15-19","MULLER","49.818"
"20-24","HOME","52.806"
"20-24","MULLER","51.493"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","52.789"
"25-29","MULLER","52.936"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","59.758"
"30-34","MULLER","61.386"
"35-39","HOME","74.448"
"35-39","MULLER","77.341"
"40-44","HOME","99.940"
"40-44","MULLER","102.362"
"45-49","HOME","106.745"
"45-49","MULLER","109.819"
"50-54","HOME","99.403"
"50-54","MULLER","104.108"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","93.176"
"55-59","MULLER","99.647"
"60-64","HOME","88.912"
"60-64","MULLER","95.952"
"65-69","HOME","79.403"
"65-69","MULLER","87.592"
"70-74","HOME","71.929"
"70-74","MULLER","82.792"
"75-79","HOME","62.102"
"75-79","MULLER","77.590"
"80-84","HOME","40.302"
"80-84","MULLER","57.821"
"85->","HOME","48.974"
"85->","MULLER","94.909"
