Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","2"
"00-04","MULLER","7"
"05-09","HOME","50.160"
"05-09","MULLER","47.115"
"10-14","HOME","61.652"
"10-14","MULLER","57.988"
"15-19","HOME","52.131"
"15-19","MULLER","49.690"
"20-24","HOME","52.767"
"20-24","MULLER","51.221"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","52.795"
"25-29","MULLER","52.848"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","59.762"
"30-34","MULLER","61.275"
"35-39","HOME","74.401"
"35-39","MULLER","77.197"
"40-44","HOME","99.889"
"40-44","MULLER","102.150"
"45-49","HOME","106.892"
"45-49","MULLER","109.910"
"50-54","HOME","99.399"
"50-54","MULLER","104.136"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","83.591"
"55-59","MULLER","90.840"
"60-64","HOME","88.720"
"60-64","MULLER","95.450"
"65-69","HOME","79.479"
"65-69","MULLER","87.447"
"70-74","HOME","73.680"
"70-74","MULLER","83.600"
"75-79","HOME","63.539"
"75-79","MULLER","78.355"
"80-84","HOME","42.425"
"80-84","MULLER","59.117"
"85->","HOME","54.533"
"85->","MULLER","103.707"
