Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","0"
"00-04","MULLER","0"
"05-09","HOME","0"
"05-09","MULLER","0"
"10-14","HOME","1"
"10-14","MULLER","0"
"15-19","HOME","255"
"15-19","MULLER","403"
"20-24","HOME","1.691"
"20-24","MULLER","4.937"
"25-29","HOME","3.196"
"25-29","MULLER","9.490"
"30-34","HOME","4.092"
"30-34","MULLER","11.605"
"35-39","HOME","5.539"
"35-39","MULLER","13.998"
"40-44","HOME","8.442"
"40-44","MULLER","18.509"
"45-49","HOME","9.792"
"45-49","MULLER","20.031"
"50-54","HOME","14.497"
"50-54","MULLER","24.300"
"55-59","HOME","44.334"
"55-59","MULLER","53.877"
"60-64","HOME","77.751"
"60-64","MULLER","85.526"
"65-69","HOME","70.118"
"65-69","MULLER","77.784"
"70-74","HOME","67.616"
"70-74","MULLER","78.992"
"75-79","HOME","58.455"
"75-79","MULLER","73.218"
"80-84","HOME","38.524"
"80-84","MULLER","56.497"
"85->","HOME","43.823"
"85->","MULLER","85.756"
