Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","3"
"00-04","MULLER","3"
"05-09","HOME","45.206"
"05-09","MULLER","42.180"
"10-14","HOME","60.619"
"10-14","MULLER","57.145"
"15-19","HOME","52.838"
"15-19","MULLER","50.666"
"20-24","HOME","52.374"
"20-24","MULLER","50.849"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","52.494"
"25-29","MULLER","52.537"
"30-34","DESCOÑECIDO","2"
"30-34","HOME","59.550"
"30-34","MULLER","61.196"
"35-39","HOME","74.213"
"35-39","MULLER","77.085"
"40-44","HOME","99.562"
"40-44","MULLER","102.020"
"45-49","HOME","106.151"
"45-49","MULLER","109.286"
"50-54","HOME","99.239"
"50-54","MULLER","103.885"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","92.983"
"55-59","MULLER","99.534"
"60-64","HOME","88.853"
"60-64","MULLER","95.835"
"65-69","HOME","79.310"
"65-69","MULLER","87.503"
"70-74","HOME","71.851"
"70-74","MULLER","82.699"
"75-79","HOME","62.038"
"75-79","MULLER","77.531"
"80-84","HOME","40.261"
"80-84","MULLER","57.774"
"85->","HOME","48.914"
"85->","MULLER","94.827"
