Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","3"
"00-04","MULLER","4"
"05-09","HOME","43.898"
"05-09","MULLER","40.938"
"10-14","HOME","60.380"
"10-14","MULLER","56.896"
"15-19","HOME","52.922"
"15-19","MULLER","50.747"
"20-24","HOME","52.257"
"20-24","MULLER","50.716"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","52.370"
"25-29","MULLER","52.431"
"30-34","DESCOÑECIDO","2"
"30-34","HOME","59.471"
"30-34","MULLER","61.161"
"35-39","HOME","74.109"
"35-39","MULLER","76.924"
"40-44","HOME","99.463"
"40-44","MULLER","101.936"
"45-49","HOME","106.044"
"45-49","MULLER","109.224"
"50-54","HOME","99.195"
"50-54","MULLER","103.838"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","92.961"
"55-59","MULLER","99.490"
"60-64","HOME","88.803"
"60-64","MULLER","95.810"
"65-69","HOME","79.301"
"65-69","MULLER","87.461"
"70-74","HOME","71.821"
"70-74","MULLER","82.672"
"75-79","HOME","62.019"
"75-79","MULLER","77.509"
"80-84","HOME","40.239"
"80-84","MULLER","57.769"
"85->","HOME","48.891"
"85->","MULLER","94.799"
