Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","3"
"00-04","MULLER","7"
"05-09","HOME","50.771"
"05-09","MULLER","47.685"
"10-14","HOME","61.590"
"10-14","MULLER","57.943"
"15-19","HOME","52.159"
"15-19","MULLER","49.653"
"20-24","HOME","52.792"
"20-24","MULLER","51.252"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","52.819"
"25-29","MULLER","52.818"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","59.762"
"30-34","MULLER","61.257"
"35-39","HOME","74.342"
"35-39","MULLER","77.122"
"40-44","HOME","99.751"
"40-44","MULLER","101.991"
"45-49","HOME","106.815"
"45-49","MULLER","109.789"
"50-54","HOME","99.216"
"50-54","MULLER","104.035"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","83.265"
"55-59","MULLER","90.440"
"60-64","HOME","88.807"
"60-64","MULLER","95.431"
"65-69","HOME","79.864"
"65-69","MULLER","87.902"
"70-74","HOME","73.882"
"70-74","MULLER","83.837"
"75-79","HOME","63.943"
"75-79","MULLER","78.792"
"80-84","HOME","42.644"
"80-84","MULLER","59.241"
"85->","HOME","54.799"
"85->","MULLER","104.231"
