Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","2"
"00-04","MULLER","4"
"05-09","HOME","46.860"
"05-09","MULLER","43.917"
"10-14","HOME","61.239"
"10-14","MULLER","57.638"
"15-19","HOME","52.782"
"15-19","MULLER","50.633"
"20-24","HOME","52.488"
"20-24","MULLER","51.001"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","52.634"
"25-29","MULLER","52.666"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","59.673"
"30-34","MULLER","61.307"
"35-39","HOME","74.319"
"35-39","MULLER","77.170"
"40-44","HOME","99.648"
"40-44","MULLER","102.114"
"45-49","HOME","106.239"
"45-49","MULLER","109.356"
"50-54","HOME","99.301"
"50-54","MULLER","103.943"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","93.032"
"55-59","MULLER","99.556"
"60-64","HOME","88.869"
"60-64","MULLER","95.872"
"65-69","HOME","79.335"
"65-69","MULLER","87.529"
"70-74","HOME","71.871"
"70-74","MULLER","82.731"
"75-79","HOME","62.053"
"75-79","MULLER","77.545"
"80-84","HOME","40.280"
"80-84","MULLER","57.799"
"85->","HOME","48.946"
"85->","MULLER","94.868"
