Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","3"
"00-04","MULLER","6"
"05-09","HOME","48.980"
"05-09","MULLER","45.992"
"10-14","HOME","61.586"
"10-14","MULLER","57.934"
"15-19","HOME","52.225"
"15-19","MULLER","49.840"
"20-24","HOME","52.799"
"20-24","MULLER","51.494"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","52.765"
"25-29","MULLER","52.908"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","59.752"
"30-34","MULLER","61.376"
"35-39","HOME","74.454"
"35-39","MULLER","77.343"
"40-44","HOME","99.931"
"40-44","MULLER","102.353"
"45-49","HOME","106.737"
"45-49","MULLER","109.812"
"50-54","HOME","99.400"
"50-54","MULLER","104.106"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","93.179"
"55-59","MULLER","99.645"
"60-64","HOME","88.905"
"60-64","MULLER","95.953"
"65-69","HOME","79.403"
"65-69","MULLER","87.588"
"70-74","HOME","71.928"
"70-74","MULLER","82.792"
"75-79","HOME","62.101"
"75-79","MULLER","77.587"
"80-84","HOME","40.302"
"80-84","MULLER","57.821"
"85->","HOME","48.974"
"85->","MULLER","94.908"
