Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","2"
"00-04","MULLER","3"
"05-09","HOME","46.297"
"05-09","MULLER","43.294"
"10-14","HOME","60.969"
"10-14","MULLER","57.421"
"15-19","HOME","52.812"
"15-19","MULLER","50.654"
"20-24","HOME","52.437"
"20-24","MULLER","50.943"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","52.592"
"25-29","MULLER","52.628"
"30-34","DESCOÑECIDO","2"
"30-34","HOME","59.633"
"30-34","MULLER","61.262"
"35-39","HOME","74.287"
"35-39","MULLER","77.129"
"40-44","HOME","99.602"
"40-44","MULLER","102.076"
"45-49","HOME","106.216"
"45-49","MULLER","109.322"
"50-54","HOME","99.272"
"50-54","MULLER","103.926"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","93.017"
"55-59","MULLER","99.540"
"60-64","HOME","88.865"
"60-64","MULLER","95.852"
"65-69","HOME","79.323"
"65-69","MULLER","87.529"
"70-74","HOME","71.860"
"70-74","MULLER","82.718"
"75-79","HOME","62.052"
"75-79","MULLER","77.547"
"80-84","HOME","40.268"
"80-84","MULLER","57.784"
"85->","HOME","48.935"
"85->","MULLER","94.855"
