Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","2"
"00-04","MULLER","4"
"05-09","HOME","48.084"
"05-09","MULLER","45.106"
"10-14","HOME","61.491"
"10-14","MULLER","57.854"
"15-19","HOME","52.463"
"15-19","MULLER","50.190"
"20-24","HOME","52.575"
"20-24","MULLER","51.206"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","52.689"
"25-29","MULLER","52.815"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","59.701"
"30-34","MULLER","61.341"
"35-39","HOME","74.432"
"35-39","MULLER","77.305"
"40-44","HOME","99.851"
"40-44","MULLER","102.265"
"45-49","HOME","106.590"
"45-49","MULLER","109.676"
"50-54","HOME","99.347"
"50-54","MULLER","104.020"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","93.128"
"55-59","MULLER","99.604"
"60-64","HOME","88.872"
"60-64","MULLER","95.930"
"65-69","HOME","79.391"
"65-69","MULLER","87.569"
"70-74","HOME","71.902"
"70-74","MULLER","82.770"
"75-79","HOME","62.081"
"75-79","MULLER","77.570"
"80-84","HOME","40.296"
"80-84","MULLER","57.814"
"85->","HOME","48.961"
"85->","MULLER","94.896"
