Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","3"
"00-04","MULLER","6"
"05-09","HOME","49.425"
"05-09","MULLER","46.399"
"10-14","HOME","61.611"
"10-14","MULLER","57.958"
"15-19","HOME","52.162"
"15-19","MULLER","49.765"
"20-24","HOME","52.839"
"20-24","MULLER","51.551"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","52.808"
"25-29","MULLER","52.945"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","59.767"
"30-34","MULLER","61.400"
"35-39","HOME","74.432"
"35-39","MULLER","77.333"
"40-44","HOME","99.953"
"40-44","MULLER","102.369"
"45-49","HOME","106.783"
"45-49","MULLER","109.855"
"50-54","HOME","99.421"
"50-54","MULLER","104.133"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","93.187"
"55-59","MULLER","99.650"
"60-64","HOME","88.916"
"60-64","MULLER","95.956"
"65-69","HOME","79.406"
"65-69","MULLER","87.596"
"70-74","HOME","71.930"
"70-74","MULLER","82.796"
"75-79","HOME","62.105"
"75-79","MULLER","77.587"
"80-84","HOME","40.298"
"80-84","MULLER","57.822"
"85->","HOME","48.978"
"85->","MULLER","94.913"
