Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","0"
"00-04","MULLER","0"
"05-09","HOME","0"
"05-09","MULLER","0"
"10-14","HOME","1"
"10-14","MULLER","0"
"15-19","HOME","271"
"15-19","MULLER","463"
"20-24","HOME","1.892"
"20-24","MULLER","5.467"
"25-29","HOME","3.456"
"25-29","MULLER","9.966"
"30-34","HOME","4.383"
"30-34","MULLER","12.149"
"35-39","HOME","5.942"
"35-39","MULLER","14.635"
"40-44","HOME","9.014"
"40-44","MULLER","19.214"
"45-49","HOME","10.491"
"45-49","MULLER","20.804"
"50-54","HOME","62.103"
"50-54","MULLER","71.220"
"55-59","HOME","83.744"
"55-59","MULLER","92.741"
"60-64","HOME","80.651"
"60-64","MULLER","88.087"
"65-69","HOME","71.553"
"65-69","MULLER","79.041"
"70-74","HOME","69.564"
"70-74","MULLER","81.164"
"75-79","HOME","59.035"
"75-79","MULLER","73.990"
"80-84","HOME","38.732"
"80-84","MULLER","56.828"
"85->","HOME","44.079"
"85->","MULLER","86.488"
