Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","4"
"00-04","MULLER","4"
"05-09","HOME","43.690"
"05-09","MULLER","40.751"
"10-14","HOME","60.296"
"10-14","MULLER","56.797"
"15-19","HOME","52.993"
"15-19","MULLER","50.814"
"20-24","HOME","52.195"
"20-24","MULLER","50.654"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","52.300"
"25-29","MULLER","52.331"
"30-34","DESCOÑECIDO","2"
"30-34","HOME","59.448"
"30-34","MULLER","61.140"
"35-39","HOME","74.039"
"35-39","MULLER","76.883"
"40-44","HOME","99.427"
"40-44","MULLER","101.870"
"45-49","HOME","106.001"
"45-49","MULLER","109.186"
"50-54","HOME","99.178"
"50-54","MULLER","103.826"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","92.937"
"55-59","MULLER","99.471"
"60-64","HOME","88.786"
"60-64","MULLER","95.784"
"65-69","HOME","79.290"
"65-69","MULLER","87.451"
"70-74","HOME","71.817"
"70-74","MULLER","82.665"
"75-79","HOME","62.016"
"75-79","MULLER","77.508"
"80-84","HOME","40.236"
"80-84","MULLER","57.769"
"85->","HOME","48.885"
"85->","MULLER","94.787"
