Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","0"
"00-04","MULLER","0"
"05-09","HOME","0"
"05-09","MULLER","0"
"10-14","HOME","1"
"10-14","MULLER","0"
"15-19","HOME","271"
"15-19","MULLER","465"
"20-24","HOME","1.898"
"20-24","MULLER","5.478"
"25-29","HOME","3.490"
"25-29","MULLER","9.987"
"30-34","HOME","4.426"
"30-34","MULLER","12.178"
"35-39","HOME","5.996"
"35-39","MULLER","14.650"
"40-44","HOME","9.094"
"40-44","MULLER","19.258"
"45-49","HOME","11.316"
"45-49","MULLER","21.523"
"50-54","HOME","74.675"
"50-54","MULLER","83.297"
"55-59","HOME","83.843"
"55-59","MULLER","92.853"
"60-64","HOME","80.764"
"60-64","MULLER","88.199"
"65-69","HOME","71.607"
"65-69","MULLER","79.111"
"70-74","HOME","69.587"
"70-74","MULLER","81.185"
"75-79","HOME","59.048"
"75-79","MULLER","74.006"
"80-84","HOME","38.735"
"80-84","MULLER","56.831"
"85->","HOME","44.084"
"85->","MULLER","86.497"
