Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","0"
"00-04","MULLER","0"
"05-09","HOME","0"
"05-09","MULLER","1"
"10-14","DESCOÑECIDO","1"
"10-14","HOME","35.528"
"10-14","MULLER","33.742"
"15-19","HOME","54.367"
"15-19","MULLER","52.433"
"20-24","HOME","50.170"
"20-24","MULLER","49.336"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","50.908"
"25-29","MULLER","51.759"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","58.485"
"30-34","MULLER","60.484"
"35-39","HOME","74.638"
"35-39","MULLER","77.999"
"40-44","HOME","99.643"
"40-44","MULLER","103.104"
"45-49","HOME","103.994"
"45-49","MULLER","107.763"
"50-54","HOME","97.851"
"50-54","MULLER","103.125"
"55-59","HOME","89.915"
"55-59","MULLER","96.628"
"60-64","HOME","87.190"
"60-64","MULLER","94.392"
"65-69","HOME","78.366"
"65-69","MULLER","86.441"
"70-74","HOME","71.065"
"70-74","MULLER","82.734"
"75-79","HOME","57.192"
"75-79","MULLER","71.399"
"80-84","HOME","39.555"
"80-84","MULLER","57.447"
"85->","HOME","47.049"
"85->","MULLER","91.446"
