Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","2"
"00-04","MULLER","4"
"05-09","HOME","47.576"
"05-09","MULLER","44.631"
"10-14","HOME","61.418"
"10-14","MULLER","57.794"
"15-19","HOME","52.752"
"15-19","MULLER","50.596"
"20-24","HOME","52.541"
"20-24","MULLER","51.081"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","52.693"
"25-29","MULLER","52.756"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","59.708"
"30-34","MULLER","61.350"
"35-39","HOME","74.378"
"35-39","MULLER","77.226"
"40-44","HOME","99.676"
"40-44","MULLER","102.136"
"45-49","HOME","106.329"
"45-49","MULLER","109.417"
"50-54","HOME","99.310"
"50-54","MULLER","103.976"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","93.087"
"55-59","MULLER","99.582"
"60-64","HOME","88.871"
"60-64","MULLER","95.898"
"65-69","HOME","79.358"
"65-69","MULLER","87.552"
"70-74","HOME","71.890"
"70-74","MULLER","82.753"
"75-79","HOME","62.069"
"75-79","MULLER","77.557"
"80-84","HOME","40.294"
"80-84","MULLER","57.811"
"85->","HOME","48.956"
"85->","MULLER","94.883"
