Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","0"
"00-04","MULLER","0"
"05-09","HOME","0"
"05-09","MULLER","0"
"10-14","HOME","1"
"10-14","MULLER","0"
"15-19","HOME","271"
"15-19","MULLER","461"
"20-24","HOME","1.875"
"20-24","MULLER","5.430"
"25-29","HOME","3.406"
"25-29","MULLER","9.900"
"30-34","HOME","4.325"
"30-34","MULLER","12.094"
"35-39","HOME","5.877"
"35-39","MULLER","14.557"
"40-44","HOME","8.918"
"40-44","MULLER","19.133"
"45-49","HOME","10.401"
"45-49","MULLER","20.727"
"50-54","HOME","38.934"
"50-54","MULLER","48.540"
"55-59","HOME","83.070"
"55-59","MULLER","92.174"
"60-64","HOME","80.335"
"60-64","MULLER","87.840"
"65-69","HOME","71.341"
"65-69","MULLER","78.849"
"70-74","HOME","69.355"
"70-74","MULLER","80.871"
"75-79","HOME","58.942"
"75-79","MULLER","73.873"
"80-84","HOME","38.706"
"80-84","MULLER","56.795"
"85->","HOME","44.054"
"85->","MULLER","86.435"
