Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","0"
"00-04","MULLER","0"
"05-09","HOME","0"
"05-09","MULLER","0"
"10-14","HOME","94"
"10-14","MULLER","109"
"15-19","HOME","16.764"
"15-19","MULLER","20.477"
"20-24","HOME","32.816"
"20-24","MULLER","34.657"
"25-29","HOME","44.051"
"25-29","MULLER","46.145"
"30-34","HOME","51.674"
"30-34","MULLER","54.566"
"35-39","HOME","67.976"
"35-39","MULLER","71.999"
"40-44","HOME","95.985"
"40-44","MULLER","99.844"
"45-49","HOME","100.715"
"45-49","MULLER","105.334"
"50-54","HOME","95.758"
"50-54","MULLER","101.521"
"55-59","HOME","88.263"
"55-59","MULLER","95.395"
"60-64","DESCOÑECIDO","1"
"60-64","HOME","85.460"
"60-64","MULLER","92.687"
"65-69","HOME","77.501"
"65-69","MULLER","85.437"
"70-74","HOME","70.759"
"70-74","MULLER","82.441"
"75-79","HOME","59.705"
"75-79","MULLER","74.873"
"80-84","HOME","39.012"
"80-84","MULLER","57.236"
"85->","HOME","44.347"
"85->","MULLER","87.087"
