Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","0"
"00-04","MULLER","0"
"05-09","HOME","0"
"05-09","MULLER","1"
"10-14","DESCOÑECIDO","2"
"10-14","HOME","33.479"
"10-14","MULLER","31.797"
"15-19","HOME","53.250"
"15-19","MULLER","51.471"
"20-24","HOME","48.788"
"20-24","MULLER","48.291"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","49.512"
"25-29","MULLER","50.640"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","57.307"
"30-34","MULLER","59.453"
"35-39","HOME","73.563"
"35-39","MULLER","76.978"
"40-44","HOME","98.640"
"40-44","MULLER","102.319"
"45-49","HOME","103.170"
"45-49","MULLER","107.179"
"50-54","HOME","97.237"
"50-54","MULLER","102.725"
"55-59","HOME","89.499"
"55-59","MULLER","96.309"
"60-64","HOME","86.660"
"60-64","MULLER","93.918"
"65-69","HOME","78.127"
"65-69","MULLER","86.156"
"70-74","HOME","70.985"
"70-74","MULLER","82.688"
"75-79","HOME","59.818"
"75-79","MULLER","75.026"
"80-84","HOME","39.070"
"80-84","MULLER","57.349"
"85->","HOME","44.411"
"85->","MULLER","87.226"
