Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","3"
"00-04","MULLER","4"
"05-09","HOME","43.906"
"05-09","MULLER","40.941"
"10-14","HOME","60.381"
"10-14","MULLER","56.901"
"15-19","HOME","52.905"
"15-19","MULLER","50.721"
"20-24","HOME","52.296"
"20-24","MULLER","50.757"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","52.408"
"25-29","MULLER","52.464"
"30-34","DESCOÑECIDO","2"
"30-34","HOME","59.507"
"30-34","MULLER","61.179"
"35-39","HOME","74.141"
"35-39","MULLER","76.960"
"40-44","HOME","99.485"
"40-44","MULLER","101.953"
"45-49","HOME","106.063"
"45-49","MULLER","109.235"
"50-54","HOME","99.199"
"50-54","MULLER","103.847"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","92.968"
"55-59","MULLER","99.494"
"60-64","HOME","88.826"
"60-64","MULLER","95.828"
"65-69","HOME","79.299"
"65-69","MULLER","87.468"
"70-74","HOME","71.831"
"70-74","MULLER","82.679"
"75-79","HOME","62.027"
"75-79","MULLER","77.509"
"80-84","HOME","40.245"
"80-84","MULLER","57.776"
"85->","HOME","48.901"
"85->","MULLER","94.810"
