Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","4"
"00-04","MULLER","10"
"05-09","HOME","50.874"
"05-09","MULLER","47.788"
"10-14","HOME","61.568"
"10-14","MULLER","57.912"
"15-19","HOME","52.165"
"15-19","MULLER","49.671"
"20-24","HOME","52.804"
"20-24","MULLER","51.242"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","52.822"
"25-29","MULLER","52.829"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","59.768"
"30-34","MULLER","61.240"
"35-39","HOME","74.322"
"35-39","MULLER","77.117"
"40-44","HOME","99.692"
"40-44","MULLER","101.929"
"45-49","HOME","106.699"
"45-49","MULLER","109.702"
"50-54","HOME","99.157"
"50-54","MULLER","103.910"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","83.383"
"55-59","MULLER","90.545"
"60-64","HOME","88.878"
"60-64","MULLER","95.522"
"65-69","HOME","79.914"
"65-69","MULLER","87.988"
"70-74","HOME","73.907"
"70-74","MULLER","83.858"
"75-79","HOME","64.065"
"75-79","MULLER","78.898"
"80-84","HOME","42.678"
"80-84","MULLER","59.284"
"85->","HOME","54.831"
"85->","MULLER","104.281"
