Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","3"
"00-04","MULLER","5"
"05-09","HOME","48.587"
"05-09","MULLER","45.605"
"10-14","HOME","61.558"
"10-14","MULLER","57.913"
"15-19","HOME","52.303"
"15-19","MULLER","49.959"
"20-24","HOME","52.709"
"20-24","MULLER","51.397"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","52.751"
"25-29","MULLER","52.861"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","59.727"
"30-34","MULLER","61.358"
"35-39","HOME","74.440"
"35-39","MULLER","77.325"
"40-44","HOME","99.896"
"40-44","MULLER","102.310"
"45-49","HOME","106.669"
"45-49","MULLER","109.755"
"50-54","HOME","99.377"
"50-54","MULLER","104.073"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","93.156"
"55-59","MULLER","99.629"
"60-64","HOME","88.890"
"60-64","MULLER","95.946"
"65-69","HOME","79.396"
"65-69","MULLER","87.583"
"70-74","HOME","71.925"
"70-74","MULLER","82.783"
"75-79","HOME","62.094"
"75-79","MULLER","77.583"
"80-84","HOME","40.302"
"80-84","MULLER","57.817"
"85->","HOME","48.967"
"85->","MULLER","94.906"
