Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","3"
"00-04","MULLER","6"
"05-09","HOME","48.964"
"05-09","MULLER","45.981"
"10-14","HOME","61.585"
"10-14","MULLER","57.934"
"15-19","HOME","52.231"
"15-19","MULLER","49.844"
"20-24","HOME","52.796"
"20-24","MULLER","51.489"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","52.764"
"25-29","MULLER","52.909"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","59.748"
"30-34","MULLER","61.372"
"35-39","HOME","74.453"
"35-39","MULLER","77.345"
"40-44","HOME","99.931"
"40-44","MULLER","102.350"
"45-49","HOME","106.734"
"45-49","MULLER","109.811"
"50-54","HOME","99.399"
"50-54","MULLER","104.106"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","93.178"
"55-59","MULLER","99.646"
"60-64","HOME","88.904"
"60-64","MULLER","95.952"
"65-69","HOME","79.404"
"65-69","MULLER","87.588"
"70-74","HOME","71.927"
"70-74","MULLER","82.792"
"75-79","HOME","62.101"
"75-79","MULLER","77.587"
"80-84","HOME","40.302"
"80-84","MULLER","57.821"
"85->","HOME","48.973"
"85->","MULLER","94.908"
