Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","0"
"00-04","MULLER","0"
"05-09","HOME","0"
"05-09","MULLER","0"
"10-14","HOME","74"
"10-14","MULLER","90"
"15-19","HOME","616"
"15-19","MULLER","980"
"20-24","HOME","2.832"
"20-24","MULLER","6.904"
"25-29","HOME","5.409"
"25-29","MULLER","11.772"
"30-34","HOME","35.991"
"30-34","MULLER","40.578"
"35-39","HOME","66.440"
"35-39","MULLER","70.516"
"40-44","HOME","92.925"
"40-44","MULLER","97.121"
"45-49","HOME","98.289"
"45-49","MULLER","103.617"
"50-54","HOME","94.506"
"50-54","MULLER","100.757"
"55-59","HOME","87.303"
"55-59","MULLER","94.827"
"60-64","HOME","84.442"
"60-64","MULLER","91.721"
"65-69","HOME","76.985"
"65-69","MULLER","84.877"
"70-74","HOME","70.617"
"70-74","MULLER","82.283"
"75-79","HOME","59.587"
"75-79","MULLER","74.754"
"80-84","HOME","38.961"
"80-84","MULLER","57.168"
"85->","HOME","44.304"
"85->","MULLER","86.992"
