Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","0"
"00-04","MULLER","0"
"05-09","HOME","0"
"05-09","MULLER","0"
"10-14","HOME","93"
"10-14","MULLER","108"
"15-19","HOME","3.042"
"15-19","MULLER","4.393"
"20-24","HOME","2.945"
"20-24","MULLER","7.116"
"25-29","HOME","16.962"
"25-29","MULLER","21.754"
"30-34","HOME","51.338"
"30-34","MULLER","54.217"
"35-39","HOME","66.968"
"35-39","MULLER","70.940"
"40-44","HOME","94.633"
"40-44","MULLER","98.704"
"45-49","HOME","99.475"
"45-49","MULLER","104.475"
"50-54","HOME","94.925"
"50-54","MULLER","101.029"
"55-59","HOME","87.582"
"55-59","MULLER","95.023"
"60-64","HOME","84.773"
"60-64","MULLER","92.063"
"65-69","HOME","77.165"
"65-69","MULLER","85.117"
"70-74","HOME","70.670"
"70-74","MULLER","82.339"
"75-79","HOME","59.629"
"75-79","MULLER","74.798"
"80-84","HOME","38.973"
"80-84","MULLER","57.194"
"85->","HOME","44.312"
"85->","MULLER","87.024"
