Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","1"
"00-04","MULLER","0"
"05-09","HOME","0"
"05-09","MULLER","1"
"10-14","DESCOÑECIDO","1"
"10-14","HOME","36.700"
"10-14","MULLER","34.854"
"15-19","HOME","54.822"
"15-19","MULLER","52.713"
"20-24","HOME","50.921"
"20-24","MULLER","49.564"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","51.717"
"25-29","MULLER","52.081"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","59.364"
"30-34","MULLER","61.041"
"35-39","HOME","75.114"
"35-39","MULLER","78.177"
"40-44","HOME","100.298"
"40-44","MULLER","103.328"
"45-49","HOME","100.799"
"45-49","MULLER","104.375"
"50-54","HOME","101.971"
"50-54","MULLER","107.112"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","85.151"
"55-59","MULLER","91.582"
"60-64","HOME","87.723"
"60-64","MULLER","94.831"
"65-69","HOME","78.763"
"65-69","MULLER","86.956"
"70-74","HOME","71.407"
"70-74","MULLER","82.218"
"75-79","HOME","61.623"
"75-79","MULLER","76.972"
"80-84","HOME","40.078"
"80-84","MULLER","57.586"
"85->","HOME","48.673"
"85->","MULLER","94.276"
