Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","0"
"00-04","MULLER","0"
"05-09","HOME","0"
"05-09","MULLER","1"
"10-14","DESCOÑECIDO","1"
"10-14","HOME","35.812"
"10-14","MULLER","33.975"
"15-19","HOME","54.473"
"15-19","MULLER","52.507"
"20-24","HOME","50.312"
"20-24","MULLER","49.459"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","51.082"
"25-29","MULLER","51.874"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","58.657"
"30-34","MULLER","60.633"
"35-39","HOME","74.759"
"35-39","MULLER","78.129"
"40-44","HOME","99.799"
"40-44","MULLER","103.194"
"45-49","HOME","104.138"
"45-49","MULLER","107.843"
"50-54","HOME","97.958"
"50-54","MULLER","103.196"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","90.026"
"55-59","MULLER","96.675"
"60-64","HOME","87.265"
"60-64","MULLER","94.453"
"65-69","HOME","78.167"
"65-69","MULLER","86.275"
"70-74","HOME","71.195"
"70-74","MULLER","82.748"
"75-79","HOME","55.858"
"75-79","MULLER","69.654"
"80-84","HOME","39.920"
"80-84","MULLER","57.452"
"85->","HOME","48.293"
"85->","MULLER","93.653"
