Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","4"
"00-04","MULLER","5"
"05-09","HOME","44.108"
"05-09","MULLER","41.095"
"10-14","HOME","59.386"
"10-14","MULLER","55.942"
"15-19","HOME","53.138"
"15-19","MULLER","50.964"
"20-24","HOME","52.049"
"20-24","MULLER","50.482"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","52.244"
"25-29","MULLER","52.264"
"30-34","DESCOÑECIDO","2"
"30-34","HOME","59.398"
"30-34","MULLER","61.108"
"35-39","HOME","74.013"
"35-39","MULLER","76.860"
"40-44","HOME","99.380"
"40-44","MULLER","101.817"
"45-49","HOME","105.946"
"45-49","MULLER","109.151"
"50-54","HOME","99.154"
"50-54","MULLER","103.806"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","92.919"
"55-59","MULLER","99.456"
"60-64","HOME","88.768"
"60-64","MULLER","95.766"
"65-69","HOME","79.287"
"65-69","MULLER","87.441"
"70-74","HOME","71.803"
"70-74","MULLER","82.657"
"75-79","HOME","62.014"
"75-79","MULLER","77.501"
"80-84","HOME","40.230"
"80-84","MULLER","57.766"
"85->","HOME","48.885"
"85->","MULLER","94.785"
