Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","0"
"00-04","MULLER","0"
"05-09","HOME","0"
"05-09","MULLER","0"
"10-14","HOME","28"
"10-14","MULLER","45"
"15-19","HOME","470"
"15-19","MULLER","756"
"20-24","HOME","2.575"
"20-24","MULLER","6.419"
"25-29","HOME","4.350"
"25-29","MULLER","10.799"
"30-34","HOME","10.016"
"30-34","MULLER","17.607"
"35-39","HOME","62.373"
"35-39","MULLER","66.751"
"40-44","HOME","91.619"
"40-44","MULLER","96.072"
"45-49","HOME","97.458"
"45-49","MULLER","102.967"
"50-54","HOME","93.482"
"50-54","MULLER","100.058"
"55-59","HOME","86.703"
"55-59","MULLER","94.498"
"60-64","HOME","83.687"
"60-64","MULLER","90.929"
"65-69","HOME","76.600"
"65-69","MULLER","84.356"
"70-74","HOME","70.563"
"70-74","MULLER","82.228"
"75-79","HOME","59.558"
"75-79","MULLER","74.713"
"80-84","HOME","38.936"
"80-84","MULLER","57.137"
"85->","HOME","44.277"
"85->","MULLER","86.958"
