Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","0"
"00-04","MULLER","0"
"05-09","HOME","0"
"05-09","MULLER","1"
"10-14","DESCOÑECIDO","2"
"10-14","HOME","33.429"
"10-14","MULLER","31.731"
"15-19","HOME","53.091"
"15-19","MULLER","51.325"
"20-24","HOME","48.628"
"20-24","MULLER","48.146"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","49.398"
"25-29","MULLER","50.547"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","57.213"
"30-34","MULLER","59.388"
"35-39","HOME","73.476"
"35-39","MULLER","76.874"
"40-44","HOME","98.568"
"40-44","MULLER","102.265"
"45-49","HOME","103.103"
"45-49","MULLER","107.134"
"50-54","HOME","97.195"
"50-54","MULLER","102.704"
"55-59","HOME","89.463"
"55-59","MULLER","96.271"
"60-64","HOME","86.623"
"60-64","MULLER","93.884"
"65-69","HOME","78.106"
"65-69","MULLER","86.130"
"70-74","HOME","70.975"
"70-74","MULLER","82.674"
"75-79","HOME","59.814"
"75-79","MULLER","75.021"
"80-84","HOME","39.066"
"80-84","MULLER","57.348"
"85->","HOME","44.407"
"85->","MULLER","87.221"
