Intervalo_Idade,Sexo,Persoas_vacinadas
"00-04","HOME","3"
"00-04","MULLER","5"
"05-09","HOME","48.362"
"05-09","MULLER","45.362"
"10-14","HOME","61.519"
"10-14","MULLER","57.894"
"15-19","HOME","52.366"
"15-19","MULLER","50.065"
"20-24","HOME","52.657"
"20-24","MULLER","51.318"
"25-29","DESCOÑECIDO","1"
"25-29","HOME","52.717"
"25-29","MULLER","52.836"
"30-34","DESCOÑECIDO","1"
"30-34","HOME","59.721"
"30-34","MULLER","61.343"
"35-39","HOME","74.441"
"35-39","MULLER","77.320"
"40-44","HOME","99.850"
"40-44","MULLER","102.273"
"45-49","HOME","106.635"
"45-49","MULLER","109.728"
"50-54","HOME","99.365"
"50-54","MULLER","104.034"
"55-59","DESCOÑECIDO","1"
"55-59","HOME","93.134"
"55-59","MULLER","99.616"
"60-64","HOME","88.885"
"60-64","MULLER","95.941"
"65-69","HOME","79.389"
"65-69","MULLER","87.571"
"70-74","HOME","71.909"
"70-74","MULLER","82.775"
"75-79","HOME","62.087"
"75-79","MULLER","77.576"
"80-84","HOME","40.298"
"80-84","MULLER","57.814"
"85->","HOME","48.962"
"85->","MULLER","94.903"
